residual,Extent,time,HydroGp,Transect,Species,standResid
0.09547218362070875,0.6,-0.5,Group 1,11,BB,0.45624300923366995
0.15625292022023507,0.8,1.5,Group 1,11,BB,0.8000193654397271
-0.3332349010887192,0.1,-1.5,Group 1,11,BB,-1.592464823664342
-0.40452781637929125,0.1,-0.5,Group 1,11,BB,-1.9331598091109337
0.0667650989112808,0.5,-1.5,Group 1,11,BB,0.3190574310113411
-0.004527816379291227,0.5,-0.5,Group 1,11,BB,-0.021637554435250634
0.10625292022023503,0.75,1.5,Group 1,11,BB,0.5440179530142447
0.0667650989112808,0.5,-1.5,Group 1,11,BB,0.3190574310113411
-0.004527816379291227,0.5,-0.5,Group 1,11,BB,-0.021637554435250634
0.15625292022023507,0.8,1.5,Group 1,11,BB,0.8000193654397271
0.2930617934451971,0.7,-1.5,Group 3,9,Cooba,1.2780718393573411
0.17712677240130137,0.7,-0.5,Group 3,9,Cooba,0.7724675985260897
-0.08651728659762237,0.65,1.5,Group 3,9,Cooba,-0.5197538184248024
0.2930617934451971,0.7,-1.5,Group 3,9,Cooba,1.2780718393573411
0.17712677240130137,0.7,-0.5,Group 3,9,Cooba,0.7724675985260897
0.16348271340237763,0.9,1.5,Group 3,9,Cooba,0.9821247045404742
0.09306179344519716,0.5,-1.5,Group 3,9,Cooba,0.4058518038948599
-0.022873227598698587,0.5,-0.5,Group 3,9,Cooba,-0.09975243693639144
0.11348271340237759,0.85,1.5,Group 3,9,Cooba,0.6817489999474186
0.2930617934451971,0.7,-1.5,Group 3,9,Cooba,1.2780718393573411
0.17712677240130137,0.7,-0.5,Group 3,9,Cooba,0.7724675985260897
0.21348271340237757,0.95,1.5,Group 3,9,Cooba,1.282500409133529
-0.10693820655480285,0.3,-1.5,Group 3,9,Cooba,-0.46636823156762147
-0.2228732275986986,0.3,-0.5,Group 3,9,Cooba,-0.9719724723988729
0.11348271340237759,0.85,1.5,Group 3,9,Cooba,0.6817489999474186
0.2930617934451971,0.7,-1.5,Group 3,9,Cooba,1.2780718393573411
0.17712677240130137,0.7,-0.5,Group 3,9,Cooba,0.7724675985260897
0.11348271340237759,0.85,1.5,Group 3,9,Cooba,0.6817489999474186
0.0030617934451971363,0.41,-1.5,Group 3,9,Cooba,0.013352787936743195
-0.11287322759869861,0.41,-0.5,Group 3,9,Cooba,-0.49225145289450817
0.06348271340237766,0.8,1.5,Group 3,9,Cooba,0.3813732953543637
-0.10693820655480285,0.3,-1.5,Group 3,9,Cooba,-0.46636823156762147
-0.2228732275986986,0.3,-0.5,Group 3,9,Cooba,-0.9719724723988729
0.01348271340237761,0.75,1.5,Group 3,9,Cooba,0.0809975907613081
0.2930617934451971,0.7,-1.5,Group 3,9,Cooba,1.2780718393573411
0.17712677240130137,0.7,-0.5,Group 3,9,Cooba,0.7724675985260897
0.11348271340237759,0.85,1.5,Group 3,9,Cooba,0.6817489999474186
-0.30693820655480286,0.1,-1.5,Group 3,9,Cooba,-1.3385882670301028
-0.4228732275986986,0.1,-0.5,Group 3,9,Cooba,-1.8441925078613541
-0.20693820655480283,0.2,-1.5,Group 3,9,Cooba,-0.902478249298862
-0.3228732275986986,0.2,-0.5,Group 3,9,Cooba,-1.4080824901301134
-0.18651728659762234,0.55,1.5,Group 3,9,Cooba,-1.1205052276109129
0.2930617934451971,0.7,-1.5,Group 3,9,Cooba,1.2780718393573411
0.17712677240130137,0.7,-0.5,Group 3,9,Cooba,0.7724675985260897
-0.08651728659762237,0.65,1.5,Group 3,9,Cooba,-0.5197538184248024
-0.006938206554802817,0.4,-1.5,Group 3,9,Cooba,-0.03025821383638067
-0.12287322759869856,0.4,-0.5,Group 3,9,Cooba,-0.535862454667632
0.06348271340237766,0.8,1.5,Group 3,9,Cooba,0.3813732953543637
0.0030617934451971363,0.41,-1.5,Group 3,9,Cooba,0.013352787936743195
-0.11287322759869861,0.41,-0.5,Group 3,9,Cooba,-0.49225145289450817
0.16348271340237763,0.9,1.5,Group 3,9,Cooba,0.9821247045404742
