TCI,HYDRO_GP,Transect,SPECIES,Year,medYear,time,mTCI
12,Group 1,2,Eucalyptus largiflorens,2018,2018,0,0.7225
11,Group 1,2,Eucalyptus largiflorens,2015,2018,-3,0.546
11,Group 1,2,Eucalyptus largiflorens,2016,2018,-2,0.546
12,Group 1,2,Eucalyptus largiflorens,2018,2018,0,0.76
7,Group 1,2,Eucalyptus largiflorens,2015,2018,-3,0.15
7,Group 1,2,Eucalyptus largiflorens,2016,2018,-2,0.15
10,Group 1,2,Eucalyptus largiflorens,2018,2018,0,0.56
7,Group 1,2,Eucalyptus largiflorens,2015,2018,-3,0.2
7,Group 1,2,Eucalyptus largiflorens,2016,2018,-2,0.2
10,Group 1,2,Eucalyptus largiflorens,2018,2018,0,0.64
2,Group 2,3,Acacia stenophylla,2015,2018,-3,0.0025
2,Group 2,3,Acacia stenophylla,2016,2018,-2,0.0025
4,Group 2,3,Acacia stenophylla,2018,2018,0,0.015
12,Group 2,3,Acacia stenophylla,2015,2018,-3,0.6825
12,Group 2,3,Acacia stenophylla,2016,2018,-2,0.6825
11,Group 2,3,Acacia stenophylla,2018,2018,0,0.57
10,Group 2,3,Acacia stenophylla,2015,2018,-3,0.364
10,Group 2,3,Acacia stenophylla,2016,2018,-2,0.364
10,Group 2,3,Acacia stenophylla,2018,2018,0,0.45
9,Group 2,3,Acacia stenophylla,2018,2018,0,0.4
11,Group 2,3,Acacia stenophylla,2015,2018,-3,0.455
11,Group 2,3,Acacia stenophylla,2016,2018,-2,0.455
13,Group 2,3,Acacia stenophylla,2015,2018,-3,0.7371
13,Group 2,3,Acacia stenophylla,2016,2018,-2,0.7371
10,Group 2,3,Acacia stenophylla,2018,2018,0,0.54
10,Group 3,7,Eucalyptus largiflorens,2018,2018,0,0.6
8,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,0.25
8,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,0.25
11,Group 3,7,Eucalyptus largiflorens,2018,2018,0,0.68
11,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,0.6075
11,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,0.6075
10,Group 3,7,Eucalyptus largiflorens,2018,2018,0,0.5625
10,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,0.525
10,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,0.525
12,Group 3,7,Eucalyptus largiflorens,2018,2018,0,0.76
9,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,0.42
9,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,0.42
11,Group 3,7,Eucalyptus largiflorens,2018,2018,0,0.72
9,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,0.42
9,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,0.42
12,Group 3,7,Eucalyptus largiflorens,2018,2018,0,0.7225
11,Group 3,7,Eucalyptus largiflorens,2015,2018,-3,0.567
11,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,0.567
11,Group 3,7,Eucalyptus largiflorens,2018,2018,0,0.72
7,Group 3,7,Eucalyptus largiflorens,2016,2018,-2,0.24
5,mixed,6,Acacia stenophylla,2015,2018,-3,0.06
5,mixed,6,Acacia stenophylla,2016,2018,-2,0.06
11,mixed,6,Acacia stenophylla,2018,2018,0,0.5225
8,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,0.36
