TCI,HydroGp,Transect,Species,Year,time,mTCI,Extent,Density
12,Group 1,2,BB,2018,1.5,0.7225,0.85,0.85
11,Group 1,2,BB,2015,-1.5,0.546,0.91,0.6
11,Group 1,2,BB,2016,-0.5,0.546,0.91,0.6
12,Group 1,2,BB,2018,1.5,0.76,0.95,0.8
7,Group 1,2,BB,2015,-1.5,0.15,0.5,0.3
7,Group 1,2,BB,2016,-0.5,0.15,0.5,0.3
10,Group 1,2,BB,2018,1.5,0.56,0.7,0.8
7,Group 1,2,BB,2015,-1.5,0.2,0.5,0.4
7,Group 1,2,BB,2016,-0.5,0.2,0.5,0.4
10,Group 1,2,BB,2018,1.5,0.64,0.8,0.8
2,Group 2,3,Cooba,2015,-1.5,0.0025,0.05,0.05
2,Group 2,3,Cooba,2016,-0.5,0.0025,0.05,0.05
4,Group 2,3,Cooba,2018,1.5,0.015,0.05,0.3
12,Group 2,3,Cooba,2015,-1.5,0.6825,0.91,0.75
12,Group 2,3,Cooba,2016,-0.5,0.6825,0.91,0.75
11,Group 2,3,Cooba,2018,1.5,0.57,0.95,0.6
10,Group 2,3,Cooba,2015,-1.5,0.364,0.91,0.4
10,Group 2,3,Cooba,2016,-0.5,0.364,0.91,0.4
10,Group 2,3,Cooba,2018,1.5,0.45,0.9,0.5
9,Group 2,3,Cooba,2018,1.5,0.4,0.8,0.5
11,Group 2,3,Cooba,2015,-1.5,0.455,0.91,0.5
11,Group 2,3,Cooba,2016,-0.5,0.455,0.91,0.5
13,Group 2,3,Cooba,2015,-1.5,0.7371,0.91,0.81
13,Group 2,3,Cooba,2016,-0.5,0.7371,0.91,0.81
10,Group 2,3,Cooba,2018,1.5,0.54,0.9,0.6
10,Group 3,7,BB,2018,1.5,0.6,0.75,0.8
8,Group 3,7,BB,2015,-1.5,0.25,0.5,0.5
8,Group 3,7,BB,2016,-0.5,0.25,0.5,0.5
11,Group 3,7,BB,2018,1.5,0.68,0.85,0.8
11,Group 3,7,BB,2015,-1.5,0.6075,0.81,0.75
11,Group 3,7,BB,2016,-0.5,0.6075,0.81,0.75
10,Group 3,7,BB,2018,1.5,0.5625,0.75,0.75
10,Group 3,7,BB,2015,-1.5,0.525,0.7,0.75
10,Group 3,7,BB,2016,-0.5,0.525,0.7,0.75
12,Group 3,7,BB,2018,1.5,0.76,0.95,0.8
9,Group 3,7,BB,2015,-1.5,0.42,0.7,0.6
9,Group 3,7,BB,2016,-0.5,0.42,0.7,0.6
11,Group 3,7,BB,2018,1.5,0.72,0.9,0.8
9,Group 3,7,BB,2015,-1.5,0.42,0.7,0.6
9,Group 3,7,BB,2016,-0.5,0.42,0.7,0.6
12,Group 3,7,BB,2018,1.5,0.7225,0.85,0.85
11,Group 3,7,BB,2015,-1.5,0.567,0.81,0.7
11,Group 3,7,BB,2016,-0.5,0.567,0.81,0.7
11,Group 3,7,BB,2018,1.5,0.72,0.9,0.8
7,Group 3,7,BB,2016,-0.5,0.24,0.6,0.4
8,Group 2,10,BB,2015,-1.5,0.36,0.6,0.6
8,Group 2,10,BB,2016,-0.5,0.36,0.6,0.6
10,Group 2,10,BB,2018,1.5,0.5625,0.75,0.75
7,Group 2,10,BB,2015,-1.5,0.2,0.5,0.4
7,Group 2,10,BB,2016,-0.5,0.2,0.5,0.4
9,Group 2,10,BB,2018,1.5,0.4125,0.55,0.75
6,Group 2,10,BB,2015,-1.5,0.12,0.6,0.2
6,Group 2,10,BB,2016,-0.5,0.12,0.6,0.2
10,Group 2,10,BB,2018,1.5,0.49,0.7,0.7
8,Group 2,10,BB,2015,-1.5,0.3,0.6,0.5
8,Group 2,10,BB,2016,-0.5,0.3,0.6,0.5
10,Group 2,10,BB,2018,1.5,0.5625,0.75,0.75
7,Group 2,10,BB,2015,-1.5,0.14,0.7,0.2
7,Group 2,10,BB,2016,-0.5,0.14,0.7,0.2
10,Group 2,10,BB,2018,1.5,0.5625,0.75,0.75
9,Group 2,10,BB,2015,-1.5,0.35,0.7,0.5
9,Group 2,10,BB,2016,-0.5,0.35,0.7,0.5
10,Group 2,10,BB,2018,1.5,0.56,0.8,0.7
7,Group 2,10,BB,2015,-1.5,0.24,0.6,0.4
10,Group 2,19,BB,2018,1.5,0.6,0.8,0.75
10,Group 2,19,BB,2015,-1.5,0.525,0.7,0.75
10,Group 2,19,BB,2016,-0.5,0.525,0.7,0.75
10,Group 2,19,BB,2018,1.5,0.64,0.8,0.8
10,Group 2,19,BB,2015,-1.5,0.52,0.8,0.65
10,Group 2,19,BB,2016,-0.5,0.52,0.8,0.65
12,Group 2,19,BB,2018,1.5,0.7225,0.85,0.85
8,Group 2,19,BB,2015,-1.5,0.1681,0.41,0.41
8,Group 2,19,BB,2016,-0.5,0.1681,0.41,0.41
10,Group 2,19,BB,2018,1.5,0.6,0.75,0.8
10,Group 2,19,BB,2015,-1.5,0.525,0.75,0.7
10,Group 2,19,BB,2016,-0.5,0.525,0.75,0.7
11,Group 2,19,BB,2018,1.5,0.68,0.8,0.85
10,Group 2,19,BB,2015,-1.5,0.525,0.7,0.75
10,Group 2,19,BB,2016,-0.5,0.525,0.7,0.75
10,Group 2,19,BB,2018,1.5,0.6,0.75,0.8
9,Group 2,19,BB,2015,-1.5,0.42,0.6,0.7
9,Group 2,19,BB,2016,-0.5,0.42,0.6,0.7
11,Group 2,19,BB,2018,1.5,0.68,0.8,0.85
12,Group 2,19,BB,2018,1.5,0.7225,0.85,0.85
11,Group 2,19,BB,2015,-1.5,0.595,0.85,0.7
11,Group 2,19,BB,2016,-0.5,0.595,0.85,0.7
11,Group 2,19,BB,2015,-1.5,0.5265,0.81,0.65
11,Group 2,19,BB,2016,-0.5,0.5265,0.81,0.65
11,Group 2,19,BB,2018,1.5,0.68,0.85,0.8
10,Group 2,19,BB,2015,-1.5,0.525,0.75,0.7
10,Group 2,19,BB,2016,-0.5,0.525,0.75,0.7
10,Group 2,19,BB,2018,1.5,0.6,0.75,0.8
10,Group 2,19,BB,2015,-1.5,0.49,0.7,0.7
10,Group 2,19,BB,2016,-0.5,0.49,0.7,0.7
11,Group 2,19,BB,2018,1.5,0.68,0.8,0.85
5,Group 2,19,BB,2015,-1.5,0.05,0.2,0.25
5,Group 2,19,BB,2016,-0.5,0.05,0.2,0.25
10,Group 2,19,BB,2018,1.5,0.4675,0.55,0.85
7,Group 2,19,BB,2015,-1.5,0.18,0.6,0.3
7,Group 2,19,BB,2016,-0.5,0.18,0.6,0.3
10,Group 2,19,BB,2018,1.5,0.5625,0.75,0.75
5,Group 2,19,BB,2015,-1.5,0.06,0.3,0.2
5,Group 2,19,BB,2016,-0.5,0.06,0.3,0.2
11,Group 2,19,BB,2018,1.5,0.68,0.85,0.8
6,Group 2,19,BB,2015,-1.5,0.09,0.3,0.3
6,Group 2,19,BB,2016,-0.5,0.09,0.3,0.3
9,Group 2,19,BB,2018,1.5,0.4,0.5,0.8
6,Group 2,19,BB,2015,-1.5,0.09,0.3,0.3
6,Group 2,19,BB,2016,-0.5,0.09,0.3,0.3
10,Group 2,19,BB,2018,1.5,0.56,0.7,0.8
7,Group 2,19,BB,2015,-1.5,0.18,0.6,0.3
7,Group 2,19,BB,2016,-0.5,0.18,0.6,0.3
11,Group 2,19,BB,2018,1.5,0.68,0.85,0.8
8,Group 2,19,BB,2015,-1.5,0.3,0.6,0.5
8,Group 2,19,BB,2016,-0.5,0.3,0.6,0.5
10,Group 2,19,BB,2018,1.5,0.6,0.8,0.75
8,Group 2,19,BB,2015,-1.5,0.205,0.5,0.41
8,Group 2,19,BB,2016,-0.5,0.205,0.5,0.41
11,Group 2,19,BB,2018,1.5,0.68,0.8,0.85
6,Group 2,19,BB,2015,-1.5,0.09,0.3,0.3
6,Group 2,19,BB,2016,-0.5,0.09,0.3,0.3
10,Group 2,19,BB,2018,1.5,0.56,0.7,0.8
6,Group 2,19,BB,2015,-1.5,0.12,0.6,0.2
6,Group 2,19,BB,2016,-0.5,0.12,0.6,0.2
11,Group 2,19,BB,2018,1.5,0.675,0.9,0.75
7,Group 2,19,BB,2015,-1.5,0.18,0.6,0.3
7,Group 2,19,BB,2016,-0.5,0.18,0.6,0.3
11,Group 2,19,BB,2018,1.5,0.675,0.9,0.75
7,Group 2,19,BB,2015,-1.5,0.15,0.5,0.3
7,Group 2,19,BB,2016,-0.5,0.15,0.5,0.3
11,Group 2,19,BB,2018,1.5,0.6375,0.85,0.75
8,Group 2,19,BB,2015,-1.5,0.205,0.5,0.41
8,Group 2,19,BB,2016,-0.5,0.205,0.5,0.41
11,Group 2,19,BB,2018,1.5,0.68,0.8,0.85
10,Group 2,19,BB,2015,-1.5,0.3721,0.61,0.61
10,Group 2,19,BB,2016,-0.5,0.3721,0.61,0.61
12,Group 2,19,BB,2018,1.5,0.7225,0.85,0.85
6,Group 2,19,BB,2015,-1.5,0.12,0.4,0.3
6,Group 2,19,BB,2016,-0.5,0.12,0.4,0.3
10,Group 2,19,BB,2018,1.5,0.6,0.8,0.75
7,Group 2,19,BB,2015,-1.5,0.18,0.6,0.3
7,Group 2,19,BB,2016,-0.5,0.18,0.6,0.3
10,Group 2,19,BB,2018,1.5,0.6,0.75,0.8
6,Group 2,19,BB,2015,-1.5,0.09,0.3,0.3
6,Group 2,19,BB,2016,-0.5,0.09,0.3,0.3
10,Group 2,19,BB,2018,1.5,0.5625,0.75,0.75
14,Group 5,18,RRG,2015,-1.5,0.91,1,0.91
14,Group 5,18,RRG,2016,-0.5,0.91,1,0.91
11,Group 5,18,RRG,2015,-1.5,0.5,1,0.5
11,Group 5,18,RRG,2016,-0.5,0.5,1,0.5
12,Group 5,18,RRG,2015,-1.5,0.637,0.91,0.7
12,Group 5,18,RRG,2016,-0.5,0.637,0.91,0.7
11,Group 5,18,RRG,2018,1.5,0.63,0.9,0.7
12,Group 5,18,RRG,2018,1.5,0.665,0.95,0.7
14,Group 5,18,RRG,2015,-1.5,0.91,1,0.91
14,Group 5,18,RRG,2016,-0.5,0.91,1,0.91
14,Group 5,18,RRG,2015,-1.5,0.91,1,0.91
14,Group 5,18,RRG,2016,-0.5,0.91,1,0.91
12,Group 5,18,RRG,2018,1.5,0.7225,0.85,0.85
13,Group 5,18,RRG,2015,-1.5,0.81,1,0.81
13,Group 5,18,RRG,2016,-0.5,0.81,1,0.81
13,Group 5,18,RRG,2015,-1.5,0.7371,0.91,0.81
13,Group 5,18,RRG,2016,-0.5,0.7371,0.91,0.81
12,Group 5,18,RRG,2018,1.5,0.8,1,0.8
13,Group 5,18,RRG,2015,-1.5,0.9,1,0.9
13,Group 5,18,RRG,2016,-0.5,0.9,1,0.9
8,Group 5,18,RRG,2018,1.5,0.3,0.4,0.75
13,Group 5,18,RRG,2015,-1.5,0.81,1,0.81
13,Group 5,18,RRG,2016,-0.5,0.81,1,0.81
12,Group 5,18,RRG,2018,1.5,0.76,0.95,0.8
13,Group 5,18,RRG,2015,-1.5,0.81,1,0.81
13,Group 5,18,RRG,2016,-0.5,0.81,1,0.81
9,Group 5,18,RRG,2018,1.5,0.35,0.5,0.7
13,Group 5,18,RRG,2015,-1.5,0.7371,0.91,0.81
13,Group 5,18,RRG,2016,-0.5,0.7371,0.91,0.81
12,Group 5,18,RRG,2018,1.5,0.7125,0.95,0.75
13,Group 5,18,RRG,2015,-1.5,0.7371,0.91,0.81
13,Group 5,18,RRG,2016,-0.5,0.7371,0.91,0.81
11,Group 5,18,RRG,2018,1.5,0.675,0.9,0.75
13,Group 5,18,RRG,2015,-1.5,0.7371,0.91,0.81
13,Group 5,18,RRG,2016,-0.5,0.7371,0.91,0.81
12,Group 5,18,RRG,2018,1.5,0.665,0.95,0.7
13,Group 5,18,RRG,2015,-1.5,0.7371,0.91,0.81
13,Group 5,18,RRG,2016,-0.5,0.7371,0.91,0.81
12,Group 5,18,RRG,2018,1.5,0.665,0.95,0.7
11,Group 5,18,RRG,2015,-1.5,0.546,0.91,0.6
11,Group 5,18,RRG,2016,-0.5,0.546,0.91,0.6
12,Group 5,18,RRG,2018,1.5,0.7125,0.95,0.75
12,Group 5,18,RRG,2015,-1.5,0.637,0.91,0.7
12,Group 5,18,RRG,2016,-0.5,0.637,0.91,0.7
11,Group 5,18,RRG,2018,1.5,0.675,0.9,0.75
12,Group 5,18,RRG,2015,-1.5,0.6825,0.91,0.75
12,Group 5,18,RRG,2016,-0.5,0.6825,0.91,0.75
12,Group 5,18,RRG,2018,1.5,0.7125,0.95,0.75
13,Group 5,18,RRG,2015,-1.5,0.9,1,0.9
13,Group 5,18,RRG,2016,-0.5,0.9,1,0.9
12,Group 5,18,RRG,2018,1.5,0.665,0.95,0.7
11,Group 5,18,RRG,2016,-0.5,0.63,0.9,0.7
10,Group 5,18,RRG,2018,1.5,0.49,0.7,0.7
11,Group 5,18,RRG,2015,-1.5,0.63,0.9,0.7
8,Group 5,18,RRG,2015,-1.5,0.36,0.6,0.6
8,Group 5,18,RRG,2016,-0.5,0.36,0.6,0.6
13,Group 5,18,RRG,2018,1.5,0.8075,0.95,0.85
12,Group 5,18,RRG,2015,-1.5,0.637,0.91,0.7
12,Group 5,18,RRG,2016,-0.5,0.637,0.91,0.7
12,Group 5,18,RRG,2018,1.5,0.7225,0.85,0.85
14,Group 5,18,RRG,2015,-1.5,0.8281,0.91,0.91
14,Group 5,18,RRG,2016,-0.5,0.8281,0.91,0.91
11,Group 5,18,RRG,2018,1.5,0.72,0.9,0.8
11,Group 5,18,RRG,2015,-1.5,0.675,0.9,0.75
11,Group 5,18,RRG,2016,-0.5,0.675,0.9,0.75
12,Group 5,18,RRG,2018,1.5,0.7125,0.95,0.75
13,Group 5,18,RRG,2015,-1.5,0.819,0.91,0.9
13,Group 5,18,RRG,2016,-0.5,0.819,0.91,0.9
11,Group 5,18,RRG,2015,-1.5,0.63,0.9,0.7
11,Group 5,18,RRG,2016,-0.5,0.63,0.9,0.7
12,Group 5,18,RRG,2018,1.5,0.76,0.95,0.8
10,Group 5,18,RRG,2015,-1.5,0.45,0.9,0.5
10,Group 5,18,RRG,2016,-0.5,0.45,0.9,0.5
12,Group 5,18,RRG,2018,1.5,0.665,0.95,0.7
11,Group 5,18,RRG,2015,-1.5,0.675,0.9,0.75
11,Group 5,18,RRG,2016,-0.5,0.675,0.9,0.75
12,Group 5,18,RRG,2018,1.5,0.7125,0.95,0.75
7,Group 5,18,RRG,2015,-1.5,0.164,0.4,0.41
7,Group 5,18,RRG,2016,-0.5,0.164,0.4,0.41
10,Group 5,18,RRG,2018,1.5,0.51,0.6,0.85
10,Group 5,18,RRG,2015,-1.5,0.49,0.7,0.7
10,Group 5,18,RRG,2016,-0.5,0.49,0.7,0.7
10,Group 5,18,RRG,2018,1.5,0.64,0.8,0.8
11,Group 5,18,RRG,2015,-1.5,0.6075,0.75,0.81
