TCI,HydroGp,Transect,Species,Year,time,mTCI,Extent,Density
11,Group 2,19,BB,2018,1.5,0.675,0.75,0.9
3,Group 2,19,BB,2015,-1.5,0.015,0.15,0.1
3,Group 2,19,BB,2016,-0.5,0.015,0.15,0.1
6,Group 2,19,BB,2018,1.5,0.0325,0.05,0.65
8,Group 2,19,BB,2015,-1.5,0.36,0.6,0.6
8,Group 2,19,BB,2016,-0.5,0.36,0.6,0.6
5,Group 1,2,BB,2015,-1.5,0.06,0.3,0.2
5,Group 1,2,BB,2016,-0.5,0.06,0.3,0.2
10,Group 1,2,BB,2018,1.5,0.6,0.8,0.75
8,Group 1,2,BB,2015,-1.5,0.36,0.6,0.6
8,Group 1,2,BB,2016,-0.5,0.36,0.6,0.6
9,Group 1,2,BB,2015,-1.5,0.35,0.7,0.5
9,Group 1,2,BB,2016,-0.5,0.35,0.7,0.5
