mTCI,HYDRO_GP,Transect,SPECIES,Year,medYear,time,TCI
0.7225,Group 2,19,Eucalyptus largiflorens,2018,2018,0,12
0.1681,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,8
0.1681,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,8
0.6,Group 2,19,Eucalyptus largiflorens,2018,2018,0,10
0.525,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,10
0.525,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,10
0.68,Group 2,19,Eucalyptus largiflorens,2018,2018,0,11
0.525,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,10
0.525,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,10
0.6,Group 2,19,Eucalyptus largiflorens,2018,2018,0,10
0.42,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,9
0.42,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,9
0.68,Group 2,19,Eucalyptus largiflorens,2018,2018,0,11
0.7225,Group 2,19,Eucalyptus largiflorens,2018,2018,0,12
0.595,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,11
0.595,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,11
0.5265,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,11
0.5265,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,11
0.68,Group 2,19,Eucalyptus largiflorens,2018,2018,0,11
0.525,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,10
0.525,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,10
0.6,Group 2,19,Eucalyptus largiflorens,2018,2018,0,10
0.49,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,10
0.49,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,10
0.68,Group 2,19,Eucalyptus largiflorens,2018,2018,0,11
0.05,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,5
0.05,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,5
0.4675,Group 2,19,Eucalyptus largiflorens,2018,2018,0,10
0.18,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,7
0.18,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,7
0.5625,Group 2,19,Eucalyptus largiflorens,2018,2018,0,10
0.06,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,5
0.06,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,5
0.68,Group 2,19,Eucalyptus largiflorens,2018,2018,0,11
0.09,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,6
0.09,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,6
0.4,Group 2,19,Eucalyptus largiflorens,2018,2018,0,9
0.09,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,6
0.09,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,6
0.56,Group 2,19,Eucalyptus largiflorens,2018,2018,0,10
0.18,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,7
0.18,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,7
0.68,Group 2,19,Eucalyptus largiflorens,2018,2018,0,11
0.3,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,8
0.3,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,8
0.6,Group 2,19,Eucalyptus largiflorens,2018,2018,0,10
0.205,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,8
0.205,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,8
0.68,Group 2,19,Eucalyptus largiflorens,2018,2018,0,11
0.09,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,6
0.09,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,6
0.56,Group 2,19,Eucalyptus largiflorens,2018,2018,0,10
0.12,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,6
0.12,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,6
0.675,Group 2,19,Eucalyptus largiflorens,2018,2018,0,11
0.18,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,7
0.18,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,7
0.675,Group 2,19,Eucalyptus largiflorens,2018,2018,0,11
0.15,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,7
0.15,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,7
0.6375,Group 2,19,Eucalyptus largiflorens,2018,2018,0,11
0.205,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,8
0.205,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,8
0.68,Group 2,19,Eucalyptus largiflorens,2018,2018,0,11
0.3721,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,10
0.3721,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,10
0.7225,Group 2,19,Eucalyptus largiflorens,2018,2018,0,12
0.12,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,6
0.12,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,6
0.6,Group 2,19,Eucalyptus largiflorens,2018,2018,0,10
0.18,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,7
0.18,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,7
